category,driver,run,n_rows,median_dt_s,duration_min,dist_km,nan_imu_cells
M,Driver B,M,105974,0.1,176.6,105.22,0
S,Driver A,S1,51746,0.1,86.2,38.04,0
S,Driver A,S2,93876,0.1,156.5,75.48,0
S,Driver A,S3a,24621,0.1,41.0,25.92,0
S,Driver A,S3b,6813,0.1,11.4,3.77,0
S,Driver A,S3c,37183,0.1,62.0,44.14,0
S,Driver A,S4,94600,0.1,157.7,88.42,0
Vf,Driver E,Vfa01,11486,0.1,19.1,18.78,0
Vf,Driver E,Vfa02,67523,0.1,112.5,163.11,0
Vta,Driver E,Vta1a,25676,0.1,42.8,40.67,0
Vta,Driver E,Vta1b,954,0.1,1.6,1.26,0
Vta,Driver E,vta10,1502,0.1,2.5,3.74,0
Vta,Driver E,vta11,510,0.1,0.8,0.71,0
Vta,Driver E,vta12,610,0.1,1.0,1.12,0
Vta,Driver E,vta13,404,0.1,0.7,0.98,0
Vta,Driver E,vta14,2885,0.1,4.8,5.43,0
Vta,Driver E,vta15,833,0.1,1.4,1.65,0
Vta,Driver E,vta16,11335,0.1,18.9,13.66,0
Vta,Driver E,vta17,4519,0.1,7.5,4.1,0
Vta,Driver E,vta19,292,0.1,0.5,0.23,0
Vta,Driver E,vta2,10991,0.1,18.3,11.05,0
Vta,Driver E,vta20,3223,0.1,5.4,0.39,0
Vta,Driver E,vta21,2079,0.1,3.5,2.75,0
Vta,Driver E,vta22,1564,0.1,2.6,1.66,0
Vta,Driver E,vta23,1110,0.1,1.8,1.09,0
Vta,Driver E,vta24,1171,0.1,2.0,0.69,0
Vta,Driver E,vta25,646,0.1,1.1,0.16,0
Vta,Driver E,vta26,1935,0.1,3.2,1.0,0
Vta,Driver E,vta27,2540,0.1,4.2,3.15,0
Vta,Driver E,vta28,4210,0.1,7.0,3.93,0
Vta,Driver E,vta29,23705,0.1,39.5,26.07,0
Vta,Driver E,vta3,645,0.1,1.1,0.37,0
Vta,Driver E,vta30,17136,0.1,28.6,11.75,0
Vta,Driver E,vta4,1789,0.1,3.0,1.99,0
Vta,Driver E,vta5,307,0.1,0.5,0.36,0
Vta,Driver E,vta6,1376,0.1,2.3,2.59,0
Vta,Driver E,vta7,840,0.1,1.4,1.51,0
Vta,Driver E,vta8,3676,0.1,6.1,3.4,0
Vta,Driver E,vta9,156,0.1,0.3,0.31,0
Vtb,Driver E,vtb1,32459,0.1,54.1,41.85,0
Vtb,Driver E,vtb10,196,0.1,0.3,0.22,0
Vtb,Driver E,vtb11,361,0.1,0.6,0.7,0
Vtb,Driver E,vtb12,447,0.1,0.7,0.53,0
Vtb,Driver E,vtb2,5712,0.1,9.5,4.34,0
Vtb,Driver E,vtb3,8240,0.1,13.7,0.69,0
Vtb,Driver E,vtb4,556,0.1,0.9,0.24,0
Vtb,Driver E,vtb5,64388,0.1,107.3,111.44,0
Vtb,Driver E,vtb6,498,0.1,0.8,0.87,0
Vtb,Driver E,vtb7,461,0.1,0.8,0.72,0
Vtb,Driver E,vtb8,668,0.1,1.1,1.29,0
Vtb,Driver E,vtb9,452,0.1,0.8,0.96,0
Vw,Driver E,Vw1,20476,0.1,34.1,0.05,0
Vw,Driver E,Vw10,652,0.1,1.1,0.73,0
Vw,Driver E,Vw11,4909,0.1,8.2,5.83,0
Vw,Driver E,Vw12,918,0.1,1.5,2.3,0
Vw,Driver E,Vw13,284,0.1,0.5,0.77,0
Vw,Driver E,Vw14a,3138,0.1,5.2,7.91,0
Vw,Driver E,Vw14b,19588,0.1,32.6,41.09,0
Vw,Driver E,Vw14c,15826,0.1,26.4,17.06,0
Vw,Driver E,Vw15,1380,0.1,2.3,0.01,0
Vw,Driver E,Vw16a,5879,0.1,9.8,8.46,0
Vw,Driver E,Vw16b,1126,0.1,1.9,1.88,0
Vw,Driver E,Vw17,329,0.1,0.5,0.54,0
Vw,Driver E,Vw2,52713,0.1,87.9,98.43,0
Vw,Driver E,Vw3,3861,0.1,6.4,4.94,0
Vw,Driver E,Vw4,126526,0.1,210.9,214.19,0
Vw,Driver E,Vw5,1012,0.1,1.7,0.66,0
Vw,Driver E,Vw6,1281,0.1,2.1,1.08,0
Vw,Driver E,Vw7,1602,0.1,2.7,1.16,0
Vw,Driver E,Vw8,1529,0.1,2.5,1.06,0
Vw,Driver E,Vw9,552,0.1,0.9,0.42,0
Y,Driver D,Y1,70285,0.1,117.1,60.74,0
